nombre/0,precio/0,descripcion/0,caracteristicas/0/Marca,caracteristicas/0/Modelo,caracteristicas/0/Año,caracteristicas/0/Color,caracteristicas/0/Tipo de combustible,caracteristicas/0/Kilómetros,caracteristicas/0/Puertas,caracteristicas/0/Transmisión,caracteristicas/0/Motor,caracteristicas/0/Tipo de carrocería
Fiat Palio  5 Pts Hb Sporting 16l Ta A/ac Ba Usb Ra-16,"165,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Fiat,Palio,2016,Rojo,Gasolina,87392 km,,,,
"Nissan Kicks  5 Pts Advance, 16l, Ta, A/ac, Ve, Ra-17","360,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Nissan,Kicks,2019,Blanco,Gasolina,63967 km,,,,
"Nissan Kicks  5 Pts Exclusive, 16l, Ta, A/ac Aut, Piel, Ve,","315,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Nissan,Kicks,2017,Gris,Gasolina,71662 km,,,,
"Nissan X-trail  5 Pts Advance, Cvt, Cd, Qc, 5 Pas, Ra-18","440,000","En Nissan Imperio Coapa trabajamos para hacer dinamica, facil y segura la experiencia de comprar o vender un auto.Todos los vehiculos pasan por un riguroso proceso de inspeccionFacturamos a particulares y empresas.Evite riesgos, somos agencia.Garantia en autos Nissan de 3 anos o 60,000 kilometros a partir de 2016 en a delante Garantia de autos multimarca por 90 dias en motor y transmision. De Contamos con atractivos planes de financiamientoMas de 10 anos de experiencia dando seguridad y confianza.CONOCE NUESTRO AMPLIO INVENTARIO COMO GRUPO IMPERIOA G E N D A T U C I T A HOY M I S M O",Nissan,X-Trail,2018,Gris,Gasolina,35933 km,,,,
"Ford Transit Van 4 Pts Van Mediana, 37l, Ta","399,000",BIENVENIDOS A DALTON SEMINUEVOS. EN DALTON TODOS NUESTROS AUTOS PASAN POR UNA INSPECCION REALIZADA POR NUESTROS EXPERTOS PARA BRINDARTE LA SEGURIDAD AL MOMENTO DE COMPRAR TU SEMINUEVO EN DALTON. TOMAM,Ford,Transit,2017,Blanco,Gasolina,80300 km,4,,,
Audi Q3 2020 2.0 Select 180 Hp Quattro S-tronic At,"739,000",Este vehículo es certificado.Pro Motors Mty EN EXCELENTES CONDICIONES-FACTURA DE AGENCIA-UNICO DUEÑO-2 LLAVES-GARANTIA DE AGENCIA-ASIENTOS EN PIEL-CLUSTER DIGITAL-CONTROLES AL VOLANTE-APERTURA DE CAJUELA DE PATADA-CAJUELA ELECTRICA-CAMARA DE REVERSA-QUEMACOCOS PANORAMICO-ENCENDIDO DE BOTONID interno: 20c3b,Audi,Q3,2020,Blanco,Gasolina,38000 km,5,Automática,2.0,SUV
"Ford Lobo Pick-up 4 Pts Crew Cab Lariat Ecoboost, 35l, 375 ","850,000",UNIDAD SEMINUEVA CUENTA CON FINANCIAMIENTO DESDE 12 HASTA 60 MESES CON LA MEJOR TASA DEL MERCADO. PARA TU COMODIDAD REALIZAMOS TU TRAMITE Y RECIBIMOS TU DOCUMENTACION VIA WHATSAPP,Ford,Lobo,2018,Morado,Gasolina,19970 km,4,,,
"Nissan Tiida  4 Pts Sense, At, A/ac, Cd, R-15","175,000",NISSAN IMPERIO SUR SEMINUEVOS,Nissan,Tiida,2018,Plata,Gasolina,99862 km,,,,
Toyota Sequoia 2010 5.7 Platinum At,"445,000","Si estás buscando seguridad que combine con estilo y comodidad entonces esta es la mejor opción.Este vehículo Toyota Sequoia cuenta con blindaje nivel III Total Shield.Se encuentra bastante bien conservada, mecánicamente está en excelentes condicionesDisfruta sus amplios interiores de piel mientras viajas con la mayor tranquilidad posible.Pregunta por nuestra modalidad de arrendamiento y garantía de 3 meses en motor y transmisión. IM-cb567",Toyota,Sequoia,2010,Verde musgo,Gasolina,114392 km,5,Automática,5.7,Vagoneta
Lincoln Corsair 2020 Reserve 4x4 Blindado Nivel Ii Por Ruhe ,"1,150,000","El blindaje nivel 2 de Ruhe es óptimo para ataques urbanos ya que funciona contra armas cortas de 9 mm. para abajo y subametralladoras, por lo que es una gran opción para quienes buscan seguridad antes este tipo de riesgos sin aumentar mucho el peso original a su vehículo, confiriéndole muy buena maniobravilidad para que manejar siga siendo una experiencia cómoda.Este modelo Lincoln Corsair goza de muy bajo kilometraje y se encuentra en excelentes condiciones para que disfrutes junto a tu familia con la mayor tranquilidad posible.Contamos con do leasing 100% digital además de garantía de 3 meses.¡Llévate ya uno de los autos preferidos de Niis! IM-9e89c",Lincoln,Corsair,2020,Gris,Gasolina,7037 km,5,Automática,2.3,Vagoneta
Jeep Grand Cherokee 2017 5.7 V8 Limited Lujo 4x4 At Blindada,"900,000",Si estás buscando seguridad que combine con estilo y comodidad entonces esta es la mejor opción.Este lujoso vehículo cuenta con blindaje nivel 3 de Protelife y un poderoso motor 5.7 V8.Disfruta junto a tu familia de los elegantes y amplios interiores de piel mientras viajas con la mayor tranquilidad posible.Pregunta por nuestra garantía y planes de arrendamiento. IM-ec9c1,Jeep,Grand Cherokee,2017,Gris oscuro,Gasolina,46041 km,5,Automática,5.7,Vagoneta
Hyundai Tucson 2017 2.0 Limited Tech At,"404,900","¡Seminuevos Hyundai Satélite!Somos Multimarca.¡No te arriesgues! En Hyundai Satélite, tu inversión está segura.Todo nuestro inventario esta garantizado por parte de el Distribuidor.Contamos con atractivos planes de financiamiento desde el 20% de enganche y plazos muy cómodos, dependiendo modelo y año de la unidad.Contáctanos para que conozcas nuestra amplia gama de vehículos.Un asesor profesional en breve te contactara para agendar tu cita, cotizar y estrenes de manera inmediata. IM-3bcf9",Hyundai,Tucson,2017,Café,Gasolina,73600 km,5,Automática,2.0,SUV
Audi A7 2012 3.0 V6 S Line Quattro S-tronic At,"375,000","Este vehículo es certificadoTransmision automaticaTracción Quattro (AWD)Motor TurboLuces LedInteriores en pielLlave presencialSistema de sonido BoseMadera real al interiorSensores de reversaCamara de reversaApertura remota de cajuelaApertura remotaAerodinámica activaCalefacción y ventilación en Asientos delanterosAsientos eléctricos con memoriaAire acondicionado automático de 3 zonasConexión BluetoothControles al volanteControl cruceroQuemacocosEspejos electrocrómicosSelector de manejoSomos una agencia automotriz con más de 30 años de experiencia establecida en Guadalajara, México. Nos dedicamos a la venta de vehículos seminuevos de distintas marcas, ofreciendo hasta 3 años de garantía, siendo la única agencia con Alianza por medio de Scotiabank. IM-ce240",Audi,A7,2012,Plateado,Gasolina,100000 km,4,Automática,3.0,Sedán
Chevrolet Cavalier 2019 1.5 Ls Mt,"255,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso. IM-c1fb4",Chevrolet,Cavalier,2019,Azul,Gasolina,49912 km,4,Manual,1.5,Sedán
Nissan Pathfinder 2020 3.5 Exclusive Cvt,"760,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso. IM-ab16e",Nissan,Pathfinder,2020,Blanco,Gasolina,18507 km,5,Automática,3.5,SUV
Nissan Sentra 2018 1.8 Sense Cvt,"275,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso. IM-906fa",Nissan,Sentra,2018,Gris,Gasolina,54152 km,4,Automática,1.8,Sedán
Dodge Neon 2018 1.6 Sxt At,"258,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASAudio: bocinas, controles remotos del equipo de audio, entrada auxiliar, interface para ipod, puerto usb.- Confort: aire acondicionado, altura del volante ajustable, apertura de cajuela y tapa combustible, apertura remota de cajuela, control automático de velocidad, desempañador trasero, espejo de vanidad, profundidad del volante ajustable, sensor de estacionamiento, sistema de control por voz para funciones, volante de posiciones.- Eléctrico: asiento conductor, computadora de viaje, elevadores de cristal.- Extras: rines de aluminio y/o aleación.- Gadgets: bluetooth. IM-6f3d7",Dodge,Neon,2018,Plateado,Gasolina,105865 km,4,Automática,1.6,Sedán
Mazda Mazda 3 2018 2.5 S Grand Touring At,"358,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASMOTOR 2.5 LITROS, 4 CILINDROS, 185 HP, TRANSMISIÓN AUTOMÁTICA DE 6 VELOCIDADES CON MODO MANUAL, MODO DE MANEJO SPORT, ENCENDIDO POR BOTÓN, AIRE ACONDICIONADO, QUEMA-COCOS, ESPEJOS,VIDRIOS Y SEGUROS ELÉCTRICOS, SISTEMA DE INFO-ENTRETENIMIENTO CON PANTALLA CENTRAL DE 7 PULGADAS, SISTEMA DE NAVEGACIÓN, RADIO AM/FM,CD,MP3,AUX,USB,BLUETOOTH, SISTEMA DE AUDIO MARCA BOSE, VOLANTE AJUSTABLE CON MANDOS Y PALETAS DE CAMBIOS, LUCES LED, 6 BOLSAS DE AIRE, CONTROL DE ESTABILIDAD, FRENOS ABS, RINES DE ALUMINIO DE 18 PULGADAS.  IM-2a240",Mazda,3,2018,Negro,Gasolina,78122 km,4,Automática,2.5,Sedán
Nissan Sentra 2015 1.8 Sense Mt,"198,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso. IM-2f73b",Nissan,Sentra,2015,Plateado,Gasolina,58065 km,4,Manual,1.8,Sedán
Toyota Yaris 2017 1.5 Core Sedan Mt,"225,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASAudio: antena, bocinas, entrada auxiliar, puerto usb.- Confort: aire acondicionado, altura del volante ajustable, apertura de cajuela y tapa combustible, apertura remota de cajuela, desempañador trasero, espejo de vanidad, vidrios entintados, volante de posiciones.- Documentos: acepto vehículos a cuenta.- Eléctrico: asiento conductor, elevadores de cristal, encendedor, tacómetro.- Extras: rines de aluminio y/o aleación.- Seguridad: bolsa de aire conductor, cinturones de seguridad delanteros, cinturones de seguridad traseros, frenos abs, frenos de disco traseros. IM-d1e63",Toyota,Yaris,2017,Plateado,Gasolina,154079 km,4,Manual,1.5,Sedán
Chevrolet Cruze 2017 1.4 Ls At,"265,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASAIRE ACONDICIONADODIRECCION HIDRAULICAINTERIORES EN TELASTEREO AM FM CD BLUETOOTH DE AGENCIAMULTIFUNCIONES AL VOLANTEVOLANTE DE POSICIONESVIDRIOS Y SEGUROS ELÉCTRICOSBOLSAS DE AIREFRENOS ABS IM-4038b",Chevrolet,Cruze,2017,Rojo,Gasolina,94359 km,4,Automática,1.4,Sedán
Mitsubishi Montero 2018 3.0 Sport Advance 4x4,"575,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso. IM-53cdf",Mitsubishi,Montero,2018,Gris,Gasolina,31397 km,5,Manual,3.0,SUV
Suzuki S-cross 2020 1.4 Boosterjet At,"397,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASSUZUKI S-Cross Boosterjet cuenta con un motor turbo a gasolina de 4 cilindros que logra una potencia de 138 HP@5500rpm. Lleva la aceleración de 0 a 100 km/hr en 9.5 segundos. El nuevo S-Cross SUV incorpora un diseño exterior completamente orientado a la aventura y un interior pensado en un estilo de vida dinámico y confortable. IM-234d1",Suzuki,S-Cross,2020,Gris,Gasolina,12999 km,5,Automática,1.4,SUV
Kia Rio 2019 1.6 Sedan Lx Mt,"272,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso. IM-d52dc",Kia,Rio,2019,Rojo,Gasolina,32388 km,4,Manual,1.6,Sedán
Nissan Altima 2019 2.0 Exclusive At,"512,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASCILINDROS: 4POTENCIA: 248 cpTRANSMISIÓN: CVTTRACCIÓN: 6x4FRENOS DELANTEROS: DE DISCO VENTILADOS, ABS, EBD y BAFRENOS TRASEROS: DE DISCO SOLIDO, ABS, EBD y BASUSPENSIÓN DELANTERA: TIPO MC PHERSON DOBLESUSPENSIÓN TRASERA: INDEPENDIENTE TIPO MULTILINK (MONOTUBO)COLOR: ROJOINTERIORES: NEGROESTEREO: PANTALLA TOUCH 8 PULGADAS, CON SISTEMA DE AUDIO PREMIUM BOSE IM-c1db0",Nissan,Altima,2019,Rojo,Gasolina,22450 km,4,Automática,2.0,Sedán
Subaru Forester 2021 2.5 Limited At,"648,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASAire acondicionado automático de doble zona con filtroanti-polvo y ventilas en los asientos traserosApertura y cierre eléctrico de la puerta traseraBóton de encendido automáticoCubierta de cajuela retráctilDescansabrazos central del asiento trasero con porta-vasosDesempañador de parabrisas delanteroDesempañador trasero eléctrico con temporizadorLuz en el área de cargaQuemacocos eléctrico con techo corredizoSeguros eléctricos de puertas con función automática decierre sensible a la velocidadSistema de acceso con sensor táctil y llave inteligenteTomacorriente de 12 V (3)Vidrios eléctricos con función automática de un solotoque para el conductor y copiloto IM-c942b",Subaru,Forester,2021,Blanco,Gasolina,38447 km,5,Automática,2.5,SUV
Jeep Grand Cherokee 2016 3.6 V6 Limited 4x2 At,"497,500","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso. IM-ff43f",Jeep,Grand Cherokee,2016,Blanco,Gasolina,86022 km,5,Automática,3.6,SUV
Toyota Prius 2015 1.8 Premium Sr Hibrido At,"278,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASMOTOR 1.8 LITROS, 4 CILINDROS, 96 HP, ACOPLADO A SISTEMA HÍBRIDO (HSD) CON MOTOR ELÉCTRICO Y BATERÍA DE 36 HP, POTENCIA COMBINADA DE 134 HP, TRANSMISIÓN AUTOMÁTICA CVT, TRES MODOS DE MANEJO, AIRE ACONDICIONADO, ESPEJOS,VIDRIOS Y SEGUROS ELÉCTRICOS, SISTEMA DE INFO-ENTRETENIMIENTO CON PANTALLA TÁCTIL DE 6 PULGADAS, RADIO AM/FM,USB,CD,MP3,BLUETOOTH, SISTEMA DE AUDIO MARCA JBLCON 6 BOCINAS, VOLANTE AJUSTABLE CON MANDOS,6 BOLSAS DE AIRE, CÁMARA Y SENSORES DE REVERSA, CONTROL DE ESTABILIDAD, FRENOS ABS, RINES DE ALUMINIO DE 15 PULGADAS.  IM-c6ff6",Toyota,Prius,2015,Blanco,Híbrido,162584 km,4,Automática,1.8,Sedán
Mazda Mazda 3 2020 2.5 I Sport Sedan Mt,"378,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASControl dinámico de estabilidad (DSC) Dirección eléctrica Frenos con sistema antibloqueo (ABS), asistencia de frenado (BA) y distribución electrónica de fuerza de frenado (EBD)Frenos de potencia de disco ventilado delantero y disco sólido trasero Sistema de control de tracción (TCS) Suspensión delantera - independiente McPherson con barra estabilizadora .Suspensión trasera - barra de torsió IM-9c7c6",Mazda,3,2020,Azul,Gasolina,48402 km,4,Manual,2.5,Sedán
Mitsubishi Asx 2014 2.0 Es Cvt,"208,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASAUTOMATICAD/HIDRAULICAVIDRIOS ELECTRICOSASIENTOS EN TELAAIRE ACONDICIONADORINES DE ALUMINIO4CIL IM-5deab",Mitsubishi,ASX,2014,Rojo,Gasolina,126416 km,5,Automática,2.0,SUV
Toyota Yaris 2017 1.5 S Hb Mt,"238,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASAudio: antena, bocinas, controles remotos del equipo de audio, entrada auxiliar, puerto usb. - Confort: aire acondicionado, altura del volante ajustable, desempañador trasero, espejo de vanidad, espejos laterales retractiles, vidrios entintados, volante de posiciones. - Eléctrico: asiento conductor, elevadores de cristal, encendedor, tacómetro. - Extras: rines de aluminio y/o aleación. - Gadgets: bluetooth. - Seguridad: bolsa de aire conductor, bolsa de aire laterales, bolsas de aire cortina, bolsas de aire para rodillas, cinturones de seguridad delanteros, cinturones de seguridad traseros, faros de niebla, frenos abs, frenos de disco traseros IM-7c529",Toyota,Yaris,2017,Plateado,Gasolina,67274 km,5,Manual,1.5,Hatchback
Volkswagen Vento 2019 1.6 Highline At,"279,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASAudio: bocinas, entrada auxiliar, puerto usb.- Confort: aire acondicionado, altura del volante ajustable, apertura de cajuela y tapa combustible, apertura remota de cajuela, desempañador trasero, espejo de vanidad, profundidad del volante ajustable, volante de posiciones.- Documentos: certificado, factura iva desglosado, acepto vehículos a cuenta, refacturado por agencia, tenencias pagadas, con garantía mecánica.- Eléctrico: elevadores de cristal.- Extras: rines de aluminio y/o aleación.- Gadgets: bluetooth.- Seguridad: bolsa de aire conductor, cinturones de seguridad delanteros, cinturones de seguridad traseros, faros de niebla, frenos abs, frenos de disco traseros. IM-1b1c4",Volkswagen,Vento,2019,Azul,Gasolina,68120 km,4,Automática,1.6,Sedán
Chevrolet Aveo 2013 1.6 Ls Ac Mt (m),"128,000","Buen estado todo pagado, Somos Agencia Toyota, re facturamos, recibimos auto a cuenta, enganche desde 25% y hasta 48 meses a financiar, consulte términos y condiciones *Sujeto a aprobación de credito, se aplican restricciones y cambios sin previo aviso.EXTRASTransmisión: ManualDirección: AsistidaVestidura: TelaCombustible o energía: GasolinaSegmento: SedánCondición: UsadoColor exterior: Blanco Color interior: NegroTracción: DelanteraPuertas: 4Pasajeros: 5Velocidades: 5Cilindros: 4Válvulas: 4Potencia en HP: 103Torque máximo libras/pie: 107Capacidad del tanque (l): 45Consumo en ciudad (Km/l): 14.3Consumo en carretera (Km/l): 21.9Consumo en combinado (Km/l): 16.9Diámetro de rines (pulgadas): 14.0Largo del vehículo (mm): 4315Ancho del vehículo (mm): 1709Alto del vehículo (mm): 1506Peso (Kg): 1130 IM-600c7",Chevrolet,Aveo,2013,Blanco,Gasolina,98710 km,4,Manual,1.6,Sedán
